speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,subnational2Code,subnational2Name,subnational1Code,subnational1Name,countryCode,countryName,userDisplayName,obsId,checklistId,presenceNoted,hasComments,firstName,lastName,hasRichMedia,exoticCategory
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-07 13:24:00,,40.7245046,-73.9433616,True,False,False,S158368616,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1918345186,CL23822,True,False,Greg,Thornberg,False,N
whtspa,White-throated Sparrow,Zonotrichia albicollis,L2987624,McGolrick Park,2024-01-07 13:24:00,,40.7245046,-73.9433616,True,False,False,S158368616,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1918345185,CL23822,False,False,Greg,Thornberg,False,
coohaw,Cooper's Hawk,Astur cooperii,L2987624,McGolrick Park,2024-01-08 16:12:00,,40.7245046,-73.9433616,True,False,False,S158503892,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1919847442,CL23822,False,False,Michael,Lombardo,False,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L2987624,McGolrick Park,2024-01-08 16:12:00,,40.7245046,-73.9433616,True,False,False,S158503892,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1919847441,CL23822,False,False,Michael,Lombardo,False,
cangoo,Canada Goose,Branta canadensis,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059843,CL23822,False,False,Parsley,Steinweiss,False,
rocpig,Rock Pigeon,Columba livia,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059846,CL23822,True,False,Parsley,Steinweiss,False,N
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059847,CL23822,False,False,Parsley,Steinweiss,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059848,CL23822,False,False,Parsley,Steinweiss,False,
dowwoo,Downy Woodpecker,Dryobates pubescens,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059841,CL23822,False,False,Parsley,Steinweiss,False,
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-08 07:30:00,,40.7245046,-73.9433616,True,False,False,S158432651,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919059845,CL23822,True,False,Parsley,Steinweiss,False,N
